date,shift,tip_value
"Monday, March 7, 2022",כפולה,460  
"Tuesday, March 8, 2022",כפולה,720  
"Wednesday, March 9, 2022",כפולה,560  
"Thursday, March 10, 2022",בוקר,200  
"Friday, March 11, 2022",ערב,300  
"Saturday, March 12, 2022",כפולה,660  

"Monday, March 14, 2022",ערב,335  
"Tuesday, March 15, 2022",ערב,245  
"Thursday, March 17, 2022",ערב,350  
"Friday, March 18, 2022",ערב,390  
"Saturday, March 19, 2022",כפולה,820  
"Sunday, March 20, 2022",כפולה,840  

"Monday, March 21, 2022",כפולה,530  
"Tuesday, March 22, 2022",בוקר,205  
"Wednesday, March 23, 2022",כפולה,720  
"Thursday, March 24, 2022",כפולה,550  
"Friday, March 25, 2022",בוקר,315  
"Saturday, March 26, 2022",ערב,620  

"Tuesday, March 29, 2022",ערב,470  
"Wednesday, March 30, 2022",כפולה,600  
"Thursday, March 31, 2022",בוקר,200  

"Friday, April 1, 2022",כפולה,640  
"Saturday, April 2, 2022",כפולה,705  
"Sunday, April 3, 2022",כפולה,720  

"Tuesday, April 5, 2022",בוקר,200  
"Wednesday, April 6, 2022",ערב,270  
"Thursday, April 7, 2022",ערב,280  
"Friday, April 8, 2022",ערב,310  
"Saturday, April 9, 2022",ערב,490  
"Sunday, April 10, 2022",כפולה,900  

"Monday, April 11, 2022",כפולה,682  
"Tuesday, April 12, 2022",כפולה,700  
"Wednesday, April 13, 2022",בוקר,160  
"Friday, April 15, 2022",בוקר,130  
"Saturday, April 16, 2022",כפולה,580  
"Sunday, April 17, 2022",כפולה,585  

"Monday, April 18, 2022",ערב,320  
"Tuesday, April 19, 2022",ערב,180  
"Wednesday, April 20, 2022",ערב,260  
"Thursday, April 21, 2022",כפולה,470  
"Friday, April 22, 2022",ערב,250  
"Saturday, April 23, 2022",בוקר,230  
"Sunday, April 24, 2022",בוקר,300  

"Monday, April 25, 2022",ערב,350  
"Tuesday, April 26, 2022",ערב,250  
"Wednesday, April 27, 2022",ערב,300  
"Friday, April 29, 2022",בוקר,220  
"Saturday, April 30, 2022",ערב,390  

"Sunday, May 1, 2022",כפולה,625  
"Monday, May 2, 2022",ערב,280  
"Tuesday, May 3, 2022",ערב,300  
"Wednesday, May 4, 2022",ערב,260  
"Thursday, May 5, 2022",כפולה,730  
"Friday, May 6, 2022",ערב,300  
"Saturday, May 7, 2022",כפולה,750  
"Sunday, May 8, 2022",כפולה,540  

"Monday, May 9, 2022",ערב,260  
"Tuesday, May 10, 2022",ערב,200  
"Wednesday, May 11, 2022",ערב,200  

"Monday, May 23, 2022",ערב,230  
"Wednesday, May 25, 2022",ערב,240  
"Thursday, May 26, 2022",כפולה,540  
"Friday, May 27, 2022",בוקר,240  
"Saturday, May 28, 2022",ערב,480  
"Sunday, May 29, 2022",כפולה,740  

"Monday, May 30, 2022",כפולה,640  
"Tuesday, May 31, 2022",ערב,300  

"Wednesday, June 1, 2022",בוקר,300  
"Thursday, June 2, 2022",בוקר,150  

"Monday, June 6, 2022",בוקר,120  
"Thursday, June 9, 2022",ערב,240  
"Friday, June 10, 2022",ערב,220  
"Saturday, June 11, 2022",ערב,495  
"Sunday, June 12, 2022",כפולה,920  

"Monday, June 13, 2022",כפולה,710  
"Tuesday, June 14, 2022",כפולה,520  
"Wednesday, June 15, 2022",ערב,220  
"Thursday, June 16, 2022",בוקר,450  
"Friday, June 17, 2022",בוקר,430  
"Saturday, June 18, 2022",כפולה,875  
"Sunday, June 19, 2022",כפולה,775  

"Tuesday, June 21, 2022",ערב,220  
"Wednesday, June 22, 2022",כפולה,580  
"Thursday, June 23, 2022",כפולה,785  
"Friday, June 24, 2022",ערב,275  
"Saturday, June 25, 2022",כפולה,1050  
"Sunday, June 26, 2022",כפולה,730  

"Monday, June 27, 2022",כפולה,300  
"Tuesday, June 28, 2022",בוקר,310  
"Wednesday, June 29, 2022",כפולה,850  
"Thursday, June 30, 2022",כפולה,740  
